,Mapped by Name,,,,,,,
Main State Name,Main District Name,Neighbour - 1,Neighbour - 2,Neighbour - 3,Neighbour - 4,Neighbour - 5,Neighbour - 6,Neighbour - 7
Andhra Pradesh,Anantpur,Kurnool,Kadapa,Nellore,Chittoor,,,
Andhra Pradesh,Chittoor,Anantpur,Kadapa,Nellore,,,,
Andhra Pradesh,East Godavari,Visakhapatnam,West Godavari,,,,,
Andhra Pradesh,Guntur,Krishna,Prakasam,,,,,
Andhra Pradesh,Kadapa,Anantpur,Kurnool,Nellore,Chittoor,Prakasam,,
Andhra Pradesh,Krishna,Guntur,West Godavari,,,,,
Andhra Pradesh,Kurnool,Anantpur,Kurnool,Prakasam,,,,
Andhra Pradesh,Nellore,Kadapa,Chittoor,Prakasam,,,,
Andhra Pradesh,Prakasam,Nellore,Kadapa,Kurnool,Guntur,,,
Andhra Pradesh,Srikakulam,Vizianagaram,Kadapa,,,,,
Andhra Pradesh,Visakhapatnam,Vizianagaram,East Godavari,,,,,
Andhra Pradesh,Vizianagaram,Srikakulam,Visakhapatnam,,,,,
Andhra Pradesh,West Godavari,Krishna,East Godavari,,,,,
Arunachal Pradesh,Changlang,Tirap,Lohit,,,,,
Arunachal Pradesh,Upper Dibang Valley,Upper Siang,Lower Dibang Valley,,,,,
Arunachal Pradesh,East Kameng,Papumpare,West Kameng,Kurung Kumey,,,,
Arunachal Pradesh,East Siang,Upper Siang,West Siang,Lower Dibang Valley,,,,
Arunachal Pradesh,Lohit,Lower Dibang Valley,Anjaw,Changlang,,,,
Arunachal Pradesh,Lower Subansiri,West Siang,Upper Subansiri,Papumpare,Kurung Kumey,,,
Arunachal Pradesh,Papumpare,Lower Subansiri,Kurung Kumey,East Kameng,,,,
Arunachal Pradesh,Tawang,West Kameng,,,,,,
Arunachal Pradesh,Tirap,Changlang,,,,,,
Arunachal Pradesh,Upper Siang,East Siang,West Siang,Lower Dibang Valley,Upper Dibang Valley,,,
Arunachal Pradesh,Upper Subansiri,Lower Subansiri,West Siang,Kurung Kumey,,,,
Arunachal Pradesh,West Kameng,East Kameng,Tawang,,,,,
Arunachal Pradesh,West Siang,Upper Subansiri,Upper Siang,Lower Subansiri,East Siang,,,
Arunachal Pradesh,Anjaw,Lohit,Changlang,Lower Dibang Valley,,,,
Arunachal Pradesh,Lower Dibang Valley,East Siang,Lohit,Anjaw,Upper Dibang Valley,Upper Siang,,
Arunachal Pradesh,Kurung Kumey,Lower Subansiri,Papumpare,East Kameng,Upper Subansiri,,,
Assam,Cachar,Karimganj,Hailakandi,Dima Hasao,,,,
Assam,Karimganj,Hailakandi,Cachar,,,,,
Assam,Hailakandi,Karimganj,Cachar,,,,,
Assam,Dima Hasao,Cachar,Hojai,East Karbi Anglong,West Karbi Anglong,,,
Assam,Nagaon,East Karbi Anglong,West Karbi Anglong,Morigaon,Sonitpur,Darrang,Hojai,Biswanath
Assam,Morigaon,Nagaon,West Karbi Anglong,Sonitpur,Darrang,Udalguri,Kamrup Metropolitan,
Assam,West Karbi Anglong,Morigaon,Nagaon,Dima Hasao,Hojai,,,
Assam,East Karbi Anglong,Nagaon,Hojai,Golaghat,Dima Hasao,,,
Assam,Hojai,Nagaon,East Karbi Anglong,West Karbi Anglong,Dima Hasao,,,
Assam,Baksa,Barpeta,Udalguri,Darrang,Chirang,Bongaigaon,Nalbari,
Assam,Barpeta,Baksa,Nalbari,Kamrup Rural,Goalpara,Chirang,Bongaigaon,
Assam,Bongaigaon,Goalpara,Chirang,Baksa,Dhubri,Kokrajhar,Barpeta,
Assam,Chirang,Baksa,Bongaigaon,Barpeta,Kokrajhar,,,
Assam,Dhubri,Bongaigaon,Kokrajhar,Goalpara,South Salmara-Mankachar,,,
Assam,Goalpara,Bongaigaon,Dhubri,Barpeta,South Salmara-Mankachar,Kamrup Rural,,
Assam,Nalbari,Barpeta,Baksa,Kamrup Rural,,,,
Assam,Kamrup Metropolitan,Morigaon,Darrang,Kamrup Rural,,,,
Assam,Kamrup Rural,Nalbari,Barpeta,Goalpara,Kamrup Metropolitan,Darrang,Baksa,
Assam,Kokrajhar,Dhubri,Chirang,Bongaigaon,,,,
Assam,South Salmara-Mankachar,Dhubri,Goalpara,,,,,
Assam,Biswanath,Nagaon,Sonitpur,Golaghat,Lakhimpur,Majuli,,
Assam,Darrang,Kamrup Metropolitan,Morigaon,Sonitpur,Baksa,Udalguri,Kamrup Rural,
Assam,Sonitpur,Biswanath,Darrang,Morigaon,Udalguri,Nagaon,,
Assam,Udalguri,Darrang,Sonitpur,Baksa,,,,
Assam,Charaideo,Sivasagar,Dibrugarh,,,,,
Assam,Dhemaji,Lakhimpur,Dibrugarh,Tinsukia,,,,
Assam,Dibrugarh,Charaideo,Dhemaji,Lakhimpur,Sivasagar,Majuli,Tinsukia,
Assam,Golaghat,Biswanath,Jorhat,Majuli,Nagaon,East Karbi Anglong,,
Assam,Jorhat,Golaghat,Majuli,Sivasagar,,,,
Assam,Lakhimpur,Dhemaji,Majuli,Dibrugarh,Biswanath,,,
Assam,Majuli,Dibrugarh,Golaghat,Jorhat,Sivasagar,Lakhimpur,Biswanath,
Assam,Tinsukia,Dhemaji,Dibrugarh,,,,,
Assam,Sivasagar,Dibrugarh,Jorhat,Majuli,Charaideo,,,
Bihar,Araria,Kishanganj,Purnia (Purnea),Madhepura,Supaul,,,
Bihar,Arwal,Aurangabad,Jehanabad,Rohtas,Bhojpur,Patna,Gaya,
Bihar,Aurangabad,Arwal,Gaya,Rohtas,,,,
Bihar,Banka,Jamui,Bhagalpur,Munger (Monghyr),,,,
Bihar,Begusarai,Munger (Monghyr),Patna,Lakhisarai,Khagaria,Samastipur,,
Bihar,Bhagalpur,Banka,Munger (Monghyr),Khagaria,Madhepura,Purnia (Purnea),Katihar,
Bihar,Bhojpur,Arwal,Buxar,Patna,Saran,Rohtas,,
Bihar,Buxar,Bhojpur,Rohtas,Kaimur (Bhabua),,,,
Bihar,Darbhanga,Saharsa,Madhubani,Samastipur,Muzaffarpur,Sitamarhi,Khagaria,
Bihar,East Champaran (Motihari),Muzaffarpur,Sitamarhi,Sheohar,Gopalganj,West Champaran,,
Bihar,Gaya,Aurangabad,Arwal,Jehanabad,Nalanda,Nawada,,
Bihar,Gopalganj,East Champaran (Motihari),Saran,West Champaran,Siwan,Muzaffarpur,,
Bihar,Jamui,Banka,Munger (Monghyr),Lakhisarai,Sheikhpura,Nawada,,
Bihar,Jehanabad,Arwal,Gaya,Nalanda,Patna,,,
Bihar,Kaimur (Bhabua),Buxar,Rohtas,,,,,
Bihar,Katihar,Bhagalpur,Purnia (Purnea),,,,,
Bihar,Khagaria,Begusarai,Bhagalpur,Munger (Monghyr),Madhepura,Saharsa,Darbhanga,Samastipur
Bihar,Kishanganj,Araria,Purnia (Purnea),,,,,
Bihar,Lakhisarai,Begusarai,Jamui,Munger (Monghyr),Nalanda,Patna,Sheikhpura,
Bihar,Madhepura,Araria,Bhagalpur,Khagaria,Purnia (Purnea),Saharsa,Supaul,
Bihar,Madhubani,Darbhanga,Saharsa,Supaul,Sitamarhi,,,
Bihar,Munger (Monghyr),Banka,Begusarai,Bhagalpur,Jamui,Khagaria,Lakhisarai,
Bihar,Muzaffarpur,Darbhanga,East Champaran (Motihari),Samastipur,Vaishali,Saran,Sheohar,Gopalganj
Bihar,Nalanda,Gaya,Jehanabad,Lakhisarai,Nawada,Patna,Sheikhpura,
Bihar,Nawada,Gaya,Nalanda,Sheikhpura,Jamui,,,
Bihar,Patna,Arwal,Begusarai,Bhojpur,Jehanabad,Lakhisarai,Nalanda,Samastipur
Bihar,Purnia (Purnea),Araria,Kishanganj,Katihar,Bhagalpur,Madhepura,,
Bihar,Rohtas,Arwal,Aurangabad,Bhojpur,Buxar,Kaimur (Bhabua),,
Bihar,Saharsa,Darbhanga,Khagaria,Madhubani,Samastipur,Supaul,Madhepura,
Bihar,Samastipur,Begusarai,Darbhanga,Khagaria,Muzaffarpur,Patna,Saharsa,Vaishali
Bihar,Saran,Bhojpur,Gopalganj,Muzaffarpur,Patna,Siwan,Vaishali,
Bihar,Sheikhpura,Jamui,Lakhisarai,Nalanda,Nawada,,,
Bihar,Sheohar,East Champaran (Motihari),Muzaffarpur,Sitamarhi,,,,
Bihar,Sitamarhi,Darbhanga,East Champaran (Motihari),Madhubani,Sheohar,Muzaffarpur,,
Bihar,Siwan,Gopalganj,Saran,,,,,
Bihar,Supaul,Araria,Madhubani,Saharsa,Madhepura,,,
Bihar,Vaishali,Muzaffarpur,Patna,Samastipur,Saran,,,
Bihar,West Champaran,East Champaran (Motihari),Gopalganj,,,,,
Chhattisgarh,Balod,Dhamtari,Durg,Kanker,Rajnandgaon,,,
Chhattisgarh,Baloda Bazar,Bilaspur,Bemetara,Janjgir-Champa,Mahasamund,Mungeli,Raigarh,Raipur
Chhattisgarh,Balrampur,Jashpur,Surajpur,Surguja,,,,
Chhattisgarh,Bastar,Kondagaon,Dantewada,Narayanpur,Sukma,,,
Chhattisgarh,Bemetara,Baloda Bazar,Durg,Raipur,Rajnandgaon,Kabirdham,Mungeli,
Chhattisgarh,Bijapur,Dantewada,Sukma,Narayanpur,,,,
Chhattisgarh,Bilaspur,Baloda Bazar,Janjgir-Champa,Korba,Mungeli,Koriya,,
Chhattisgarh,Dantewada,Bastar,Bijapur,Narayanpur,Sukma,,,
Chhattisgarh,Dhamtari,Balod,Durg,Gariaband,Raipur,Kanker,Kondagaon,
Chhattisgarh,Durg,Balod,Bemetara,Dhamtari,Raipur,Rajnandgaon,,
Chhattisgarh,Gariaband,Dhamtari,Mahasamund,Raipur,,,,
Chhattisgarh,Janjgir-Champa,Baloda Bazar,Bilaspur,Korba,Raigarh,,,
Chhattisgarh,Jashpur,Balrampur,Raigarh,Surguja,,,,
Chhattisgarh,Kabirdham,Bemetara,Rajnandgaon,Mungeli,,,,
Chhattisgarh,Kanker,Balod,Dhamtari,Kondagaon,Narayanpur,Rajnandgaon,,
Chhattisgarh,Kondagaon,Bastar,Dhamtari,Kanker,Narayanpur,,,
Chhattisgarh,Korba,Bilaspur,Janjgir-Champa,Koriya,Raigarh,Surajpur,Surguja,
Chhattisgarh,Koriya,Bilaspur,Korba,Surajpur,,,,
Chhattisgarh,Mahasamund,Baloda Bazar,Gariaband,Raipur,Raigarh,,,
Chhattisgarh,Mungeli,Baloda Bazar,Bemetara,Bilaspur,Kabirdham,,,
Chhattisgarh,Narayanpur,Bastar,Bijapur,Dantewada,Kanker,Kondagaon,,
Chhattisgarh,Raigarh,Baloda Bazar,Janjgir-Champa,Jashpur,Korba,Mahasamund,Surguja,
Chhattisgarh,Raipur,Baloda Bazar,Bemetara,Durg,Gariaband,Mahasamund,Dhamtari,
Chhattisgarh,Rajnandgaon,Balod,Bemetara,Durg,Kabirdham,Kanker,,
Chhattisgarh,Sukma,Bastar,Bijapur,Dantewada,,,,
Chhattisgarh,Surajpur,Balrampur,Korba,Koriya,Surguja,,,
Chhattisgarh,Surguja,Balrampur,Jashpur,Korba,Surajpur,Raigarh,,
Goa,North Goa,South Goa,,,,,,
Goa,South Goa,North Goa,,,,,,
Gujarat,Ahmedabad,Anand,Gandhinagar,Kheda,Mehsana,Botad,Bhavnagar,Surendranagar
Gujarat,Amreli,Botad,Bhavnagar,Junagadh,Gir Somnath,Rajkot,,
Gujarat,Anand,Ahmedabad,Kheda,Vadodara,,,,
Gujarat,Aravalli,Kheda,Mahisagar,Gandhinagar,Sabarkantha,,,
Gujarat,Banaskantha,Kutch,Mehsana,Patan,Sabarkantha,,,
Gujarat,Bharuch,Vadodara,Surat,Narmada,,,,
Gujarat,Bhavnagar,Ahmedabad,Amreli,Botad,,,,
Gujarat,Botad,Ahmedabad,Amreli,Bhavnagar,Rajkot,Surendranagar,,
Gujarat,Chhota Udaipur,Dahod,Narmada,Panchmahal,Vadodara,,,
Gujarat,Dahod,Chhota Udaipur,Mahisagar,Panchmahal,,,,
Gujarat,Dang,Navsari,Tapi,,,,,
Gujarat,Devbhoomi Dwarka,Jamnagar,Porbandar,,,,,
Gujarat,Gandhinagar,Ahmedabad,Aravalli,Mehsana,Kheda,Sabarkantha,,
Gujarat,Gir Somnath,Amreli,Junagadh,,,,,
Gujarat,Jamnagar,Porbandar,Devbhoomi Dwarka,Rajkot,Morbi,Kutch,,
Gujarat,Junagadh,Amreli,Gir Somnath,Porbandar,Rajkot,,,
Gujarat,Kutch,Banaskantha,Morbi,Patan,Surendranagar,Jamnagar,,
Gujarat,Kheda,Ahmedabad,Anand,Aravalli,Gandhinagar,Panchmahal,Vadodara,Mahisagar
Gujarat,Mahisagar,Aravalli,Dahod,Kheda,Panchmahal,,,
Gujarat,Mehsana,Ahmedabad,Banaskantha,Gandhinagar,Patan,Sabarkantha,Surendranagar,
Gujarat,Morbi,Jamnagar,Kutch,Rajkot,Surendranagar,,,
Gujarat,Narmada,Bharuch,Chhota Udaipur,Vadodara,Tapi,Surat,,
Gujarat,Navsari,Dang,Tapi,Valsad,Surat,,,
Gujarat,Panchmahal,Chhota Udaipur,Dahod,Kheda,Mahisagar,Vadodara,,
Gujarat,Patan,Banaskantha,Kutch,Mehsana,Surendranagar,,,
Gujarat,Porbandar,Devbhoomi Dwarka,Jamnagar,Rajkot,Junagadh,,,
Gujarat,Rajkot,Amreli,Botad,Jamnagar,Morbi,Porbandar,Junagadh,Surendranagar
Gujarat,Sabarkantha,Aravalli,Banaskantha,Gandhinagar,Mehsana,,,
Gujarat,Surat,Bharuch,Narmada,Navsari,Tapi,,,
Gujarat,Surendranagar,Ahmedabad,Botad,Kutch,Mehsana,Morbi,Patan,Rajkot
Gujarat,Tapi,Dang,Narmada,Navsari,Surat,,,
Gujarat,Vadodara,Anand,Bharuch,Chhota Udaipur,Kheda,Narmada,Panchmahal,
Gujarat,Valsad,Navsari,,,,,,
Haryana,Ambala,Kurukshetra,Panchkula,Yamunanagar,,,,
Haryana,Bhiwani,Hisar,Jhajjar,Mahendragarh,Rewari,Rohtak,,
Haryana,Faridabad,Gurugram,Mewat,Palwal,,,,
Haryana,Fatehabad,Jind,Hisar,Sirsa,,,,
Haryana,Gurugram,Faridabad,Mewat,Jhajjar,Rewari,,,
Haryana,Hisar,Bhiwani,Fatehabad,Rohtak,Jind,,,
Haryana,Jhajjar,Bhiwani,Gurugram,Rewari,Rohtak,Sonipat,,
Haryana,Jind,Fatehabad,Hisar,Kaithal,Rohtak,Sonipat,Karnal,Panipat
Haryana,Kaithal,Jind,Karnal,Kurukshetra,,,,
Haryana,Karnal,Jind,Kaithal,Kurukshetra,Yamunanagar,Panipat,,
Haryana,Kurukshetra,Ambala,Kaithal,Karnal,Yamunanagar,,,
Haryana,Mewat,Faridabad,Gurugram,Palwal,,,,
Haryana,Mahendragarh,Bhiwani,Rewari,,,,,
Haryana,Palwal,Faridabad,Mewat,,,,,
Haryana,Panchkula,Ambala,,,,,,
Haryana,Panipat,Jind,Sonipat,Karnal,,,,
Haryana,Rewari,Bhiwani,Gurugram,Jhajjar,Mahendragarh,,,
Haryana,Rohtak,Bhiwani,Hisar,Jhajjar,Jind,Sonipat,,
Haryana,Sirsa,Fatehabad,,,,,,
Haryana,Sonipat,Jhajjar,Panipat,Rohtak,Jind,,,
Haryana,Yamunanagar,Ambala,Kurukshetra,Karnal,,,,
Himachal Pradesh,Bilaspur,Hamirpur,Mandi,Solan,Una,,,
Himachal Pradesh,Chamba,Kangra,Lahaul & Spiti,,,,,
Himachal Pradesh,Hamirpur,Bilaspur,Kangra,Mandi,Una,,,
Himachal Pradesh,Kangra,Chamba,Hamirpur,Una,Lahaul & Spiti,Mandi,Kullu,
Himachal Pradesh,Kinnaur,Shimla,Kullu,Lahaul & Spiti,,,,
Himachal Pradesh,Kullu,Kangra,Kinnaur,Mandi,Lahaul & Spiti,Shimla,,
Himachal Pradesh,Lahaul & Spiti,Chamba,Kangra,Kinnaur,Kullu,,,
Himachal Pradesh,Mandi,Bilaspur,Hamirpur,Kangra,Kullu,Shimla,Solan,
Himachal Pradesh,Shimla,Kinnaur,Kullu,Mandi,Solan,Sirmaur,,
Himachal Pradesh,Sirmaur,Shimla,Solan,,,,,
Himachal Pradesh,Solan,Bilaspur,Mandi,Sirmaur,Shimla,,,
Himachal Pradesh,Una,Bilaspur,Hamirpur,Kangra,,,,
Jammu and Kashmir,Kathua,Samba,Udhampur,Doda,,,,
Jammu and Kashmir,Jammu,Samba,Udhampur,Reasi,Rajouri,Mirpur,,
Jammu and Kashmir,Samba,Kathua,Jammu,Udhampur,,,,
Jammu and Kashmir,Udhampur,Kathua,Jammu,Samba,Reasi,Ramban,Doda,
Jammu and Kashmir,Reasi,Udhampur,Jammu,Rajouri,Ramban,Poonch,Kulgam,
Jammu and Kashmir,Rajouri,Reasi,Jammu,Poonch,Kulgam,Mirpur,,
Jammu and Kashmir,Poonch,Reasi,Rajouri,Kulgam,Shopian,Budgam,Baramulla,Mirpur
Jammu and Kashmir,Doda,Kathua,Udhampur,Ramban,Kishtwar,Anantnag,,
Jammu and Kashmir,Ramban,Udhampur,Reasi,Doda,Kulgam,Anantnag,,
Jammu and Kashmir,Kishtwar,Anantnag,Kargil,Doda,,,,
Jammu and Kashmir,Anantnag,Ramban,Kishtwar,Doda,Kulgam,Pulwama,Shopian,Srinagar
Jammu and Kashmir,Kulgam,Reasi,Rajouri,Poonch,Ramban,Pulwama,Shopian,Anantnag
Jammu and Kashmir,Pulwama,Anantnag,Shopian,Budgam,Srinagar,Kulgam,,
Jammu and Kashmir,Shopian,Poonch,Anantnag,Pulwama,Budgam,Kulgam,,
Jammu and Kashmir,Budgam,Poonch,Pulwama,Kulgam,Shopian,Srinagar,Baramulla,
Jammu and Kashmir,Srinagar,Anantnag,Pulwama,Budgam,Ganderbal,Baramulla,,
Jammu and Kashmir,Ganderbal,Anantnag,Srinagar,Bandipora,Baramulla,Kargil,,
